Timestamp,Metric,Entity,Value,Algorithm
1765478096.0522864,BUFFER,Switch2,0,ECMP
1765478096.0564177,BUFFER,Switch1,20,ECMP
1765478096.0681784,BUFFER,Switch1,28,ECMP
1765478096.0707636,DROP,Switch1,1,ECMP
1765478096.071246,BUFFER,Switch2,0,ECMP
1765478096.073187,DROP,Switch1,1,ECMP
1765478096.0748134,DROP,Switch1,1,ECMP
1765478096.0778055,DROP,Switch1,1,ECMP
1765478096.0793436,BUFFER,Switch1,30,ECMP
1765478096.079356,DROP,Switch1,1,ECMP
1765478096.0830135,DROP,Switch1,1,ECMP
1765478096.0853217,DROP,Switch1,1,ECMP
1765478096.086442,BUFFER,Switch2,0,ECMP
1765478096.0868475,DROP,Switch1,1,ECMP
1765478096.089833,DROP,Switch1,1,ECMP
1765478096.0913472,BUFFER,Switch1,29,ECMP
1765478096.0922172,DROP,Switch1,1,ECMP
1765478096.0945551,DROP,Switch1,1,ECMP
1765478096.0968702,DROP,Switch1,1,ECMP
1765478096.0991232,DROP,Switch1,1,ECMP
1765478096.1014354,DROP,Switch1,1,ECMP
1765478096.1017046,BUFFER,Switch2,0,ECMP
1765478096.1030118,BUFFER,Switch1,29,ECMP
1765478096.1045494,DROP,Switch1,1,ECMP
1765478096.106776,DROP,Switch1,1,ECMP
1765478096.1091373,DROP,Switch1,1,ECMP
1765478096.1114511,DROP,Switch1,1,ECMP
1765478096.1145515,BUFFER,Switch1,30,ECMP
1765478096.1145613,DROP,Switch1,1,ECMP
1765478096.1171105,BUFFER,Switch2,0,ECMP
1765478096.1302092,BUFFER,Switch2,3,ECMP
1765478096.1564364,BUFFER,Switch2,0,ECMP
1765478096.157486,BUFFER,Switch1,4,ECMP
1765478097.0103247,BUFFER,Switch2,0,ECMP
1765478097.013491,BUFFER,Switch1,1,ECMP
1765478097.02479,BUFFER,Switch2,0,ECMP
1765478097.0251088,BUFFER,Switch1,5,ECMP
1765478097.0369081,BUFFER,Switch1,9,ECMP
1765478097.0395527,BUFFER,Switch2,0,ECMP
1765478097.0478125,BUFFER,Switch1,14,ECMP
1765478097.0541928,BUFFER,Switch2,0,ECMP
1765478097.0599325,BUFFER,Switch1,17,ECMP
1765478097.068044,BUFFER,Switch2,1,ECMP
1765478097.0711577,BUFFER,Switch1,21,ECMP
1765478097.0824878,BUFFER,Switch2,1,ECMP
1765478097.0950913,BUFFER,Switch2,4,ECMP
1765478097.1438828,BUFFER,Switch1,1,ECMP
1765478097.676947,BUFFER,Switch2,0,ECMP
